Ticker;Maturity;AdjstdQt;Data_Referencia
DI1F30;02/01/2030;53535.75;11/10/2024
DI1F31;02/01/2031;47579.1;11/10/2024
DI1F32;02/01/2032;42304.68;11/10/2024
DI1F33;03/01/2033;37644.38;11/10/2024
DI1F34;02/01/2034;33591.43;11/10/2024
DI1F35;02/01/2035;29950.56;11/10/2024
DI1F36;02/01/2036;26688.05;11/10/2024
DI1F37;02/01/2037;23693.44;11/10/2024
DI1F38;04/01/2038;21074.47;11/10/2024
DI1F39;03/01/2039;18727.36;11/10/2024
DI1X24;01/11/2024;99439.0;14/10/2024
DI1Z24;02/12/2024;98655.37;14/10/2024
DI1F25;02/01/2025;97763.63;14/10/2024
DI1G25;03/02/2025;96817.03;14/10/2024
DI1H25;05/03/2025;95929.45;14/10/2024
DI1J25;01/04/2025;95079.9;14/10/2024
DI1K25;02/05/2025;94175.68;14/10/2024
DI1M25;02/06/2025;93232.07;14/10/2024
DI1N25;01/07/2025;92324.49;14/10/2024
DI1Q25;01/08/2025;91296.53;14/10/2024
DI1U25;01/09/2025;90367.92;14/10/2024
DI1V25;01/10/2025;89392.31;14/10/2024
DI1F26;02/01/2026;86630.46;14/10/2024
DI1J26;01/04/2026;84073.92;14/10/2024
DI1N26;01/07/2026;81633.92;14/10/2024
DI1V26;01/10/2026;79157.87;14/10/2024
DI1F27;04/01/2027;76911.59;14/10/2024
DI1J27;01/04/2027;74748.2;14/10/2024
DI1N27;01/07/2027;72554.25;14/10/2024
DI1V27;01/10/2027;70362.08;14/10/2024
DI1F28;03/01/2028;68330.76;14/10/2024
DI1J28;03/04/2028;66320.74;14/10/2024
DI1N28;03/07/2028;64417.21;14/10/2024
DI1V28;02/10/2028;62509.95;14/10/2024
DI1F29;02/01/2029;60804.91;14/10/2024
DI1J29;02/04/2029;59093.06;14/10/2024
DI1N29;02/07/2029;57391.04;14/10/2024
DI1V29;01/10/2029;55692.83;14/10/2024
DI1F30;02/01/2030;54069.89;14/10/2024
DI1F31;02/01/2031;48120.75;14/10/2024
DI1F32;02/01/2032;42842.57;14/10/2024
DI1F33;03/01/2033;38173.99;14/10/2024
DI1F34;02/01/2034;34123.11;14/10/2024
DI1F35;02/01/2035;30457.99;14/10/2024
DI1F36;02/01/2036;27183.45;14/10/2024
DI1F37;02/01/2037;24172.27;14/10/2024
DI1F38;04/01/2038;21534.58;14/10/2024
DI1F39;03/01/2039;19166.91;14/10/2024
DI1X24;01/11/2024;99479.06;15/10/2024
DI1Z24;02/12/2024;98694.38;15/10/2024
DI1F25;02/01/2025;97801.81;15/10/2024
DI1G25;03/02/2025;96853.07;15/10/2024
DI1H25;05/03/2025;95962.23;15/10/2024
DI1J25;01/04/2025;95109.68;15/10/2024
DI1K25;02/05/2025;94200.98;15/10/2024
