Ticker;Maturity;AdjstdQt;Data_Referencia
DI1N23;03/07/2023;87644.32;14/01/2021
DI1V23;02/10/2023;85967.3;14/01/2021
DI1F24;02/01/2024;84402.37;14/01/2021
DI1J24;01/04/2024;82788.26;14/01/2021
DI1N24;01/07/2024;81173.81;14/01/2021
DI1V24;01/10/2024;79548.08;14/01/2021
DI1F25;02/01/2025;78004.22;14/01/2021
DI1J25;01/04/2025;76510.38;14/01/2021
DI1N25;01/07/2025;75187.89;14/01/2021
DI1V25;01/10/2025;73592.4;14/01/2021
DI1F26;02/01/2026;72156.84;14/01/2021
DI1N26;01/07/2026;69362.83;14/01/2021
DI1F27;04/01/2027;66478.58;14/01/2021
DI1F28;03/01/2028;61229.21;14/01/2021
DI1F29;02/01/2029;56286.71;14/01/2021
DI1F30;02/01/2030;51766.92;14/01/2021
DI1F31;02/01/2031;47556.89;14/01/2021
DI1F33;03/01/2033;40073.88;14/01/2021
DI1F35;02/01/2035;33811.85;14/01/2021
DI1F36;02/01/2036;31297.36;14/01/2021
DI1G21;01/02/2021;99917.45;15/01/2021
DI1H21;01/03/2021;99782.51;15/01/2021
DI1J21;01/04/2021;99603.49;15/01/2021
DI1K21;03/05/2021;99435.81;15/01/2021
DI1M21;01/06/2021;99223.41;15/01/2021
DI1N21;01/07/2021;98989.72;15/01/2021
DI1Q21;02/08/2021;98722.49;15/01/2021
DI1U21;01/09/2021;98387.92;15/01/2021
DI1V21;01/10/2021;98047.4;15/01/2021
DI1X21;01/11/2021;97704.81;15/01/2021
DI1Z21;01/12/2021;97336.63;15/01/2021
DI1F22;03/01/2022;96889.69;15/01/2021
DI1J22;01/04/2022;95550.56;15/01/2021
DI1N22;01/07/2022;94048.85;15/01/2021
DI1V22;03/10/2022;92369.84;15/01/2021
DI1F23;02/01/2023;90837.08;15/01/2021
DI1J23;03/04/2023;89186.03;15/01/2021
DI1N23;03/07/2023;87530.95;15/01/2021
DI1V23;02/10/2023;85891.94;15/01/2021
DI1F24;02/01/2024;84374.71;15/01/2021
DI1J24;01/04/2024;82770.41;15/01/2021
DI1N24;01/07/2024;81167.08;15/01/2021
DI1V24;01/10/2024;79539.93;15/01/2021
DI1F25;02/01/2025;77994.7;15/01/2021
DI1J25;01/04/2025;76499.64;15/01/2021
DI1N25;01/07/2025;75175.77;15/01/2021
DI1V25;01/10/2025;73579.05;15/01/2021
DI1F26;02/01/2026;72142.2;15/01/2021
DI1N26;01/07/2026;69346.05;15/01/2021
DI1F27;04/01/2027;66459.75;15/01/2021
DI1F28;03/01/2028;61226.56;15/01/2021
DI1F29;02/01/2029;56302.89;15/01/2021
DI1F30;02/01/2030;51782.07;15/01/2021
DI1F31;02/01/2031;47571.02;15/01/2021
DI1F33;03/01/2033;40086.06;15/01/2021
DI1F35;02/01/2035;33822.3;15/01/2021
DI1F36;02/01/2036;31307.04;15/01/2021
DI1G21;01/02/2021;99925.18;18/01/2021
DI1H21;01/03/2021;99790.11;18/01/2021
DI1J21;01/04/2021;99611.1;18/01/2021
DI1K21;03/05/2021;99446.37;18/01/2021
DI1M21;01/06/2021;99237.05;18/01/2021
DI1N21;01/07/2021;99011.56;18/01/2021
DI1Q21;02/08/2021;98749.91;18/01/2021
DI1U21;01/09/2021;98421.94;18/01/2021
DI1V21;01/10/2021;98088.53;18/01/2021
DI1X21;01/11/2021;97759.47;18/01/2021
DI1Z21;01/12/2021;97406.63;18/01/2021
DI1F22;03/01/2022;96978.63;18/01/2021
DI1J22;01/04/2022;95670.1;18/01/2021
DI1N22;01/07/2022;94175.75;18/01/2021
DI1V22;03/10/2022;92537.55;18/01/2021
DI1F23;02/01/2023;90947.75;18/01/2021
DI1J23;03/04/2023;89301.46;18/01/2021
DI1N23;03/07/2023;87651.27;18/01/2021
DI1V23;02/10/2023;85976.9;18/01/2021
DI1F24;02/01/2024;84417.47;18/01/2021
DI1J24;01/04/2024;82839.59;18/01/2021
DI1N24;01/07/2024;81265.37;18/01/2021
DI1V24;01/10/2024;79656.24;18/01/2021
DI1F25;02/01/2025;78129.98;18/01/2021
DI1J25;01/04/2025;76624.4;18/01/2021
DI1N25;01/07/2025;75288.79;18/01/2021
DI1V25;01/10/2025;73679.09;18/01/2021
DI1F26;02/01/2026;72228.01;18/01/2021
DI1N26;01/07/2026;69452.77;18/01/2021
DI1F27;04/01/2027;66588.66;18/01/2021
DI1F28;03/01/2028;61362.68;18/01/2021
DI1F29;02/01/2029;56443.82;18/01/2021
DI1F30;02/01/2030;51883.15;18/01/2021
DI1F31;02/01/2031;47628.99;18/01/2021
DI1F33;03/01/2033;40142.58;18/01/2021
DI1F35;02/01/2035;33876.33;18/01/2021
DI1F36;02/01/2036;31359.93;18/01/2021
